frame.time_epoch	frame.protocols	frame.len	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.port	tcp.len	tcp.seq	tcp.ack	tcp.flags.ack	tcp.flags.syn
1596425443.853018010	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	2833	3461	1	0
1596425443.856592450	eth:ethertype:ip:tcp	74	192.168.0.158	172.217.7.13	36524	443	36524	0	0	0	0	1
1596425443.880953902	eth:ethertype:ip:tcp	74	172.217.7.13	192.168.0.158	443	36524	443	0	0	1	1	1
1596425443.880993407	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.7.13	36524	443	36524	0	1	1	1	0
1596425443.881241744	eth:ethertype:ip:tcp:ssl	583	192.168.0.158	172.217.7.13	36524	443	36524	517	1	1	1	0
1596425443.895544216	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3461	2909	1	0
1596425443.905575673	eth:ethertype:ip:tcp	66	172.217.7.13	192.168.0.158	443	36524	443	0	1	518	1	0
1596425443.912514592	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	1	518	1	0
1596425443.912538610	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.7.13	36524	443	36524	0	518	1419	1	0
1596425443.912553891	eth:ethertype:ip:tcp:ssl	1315	172.217.7.13	192.168.0.158	443	36524	443	1249	1419	518	1	0
1596425443.912562147	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.7.13	36524	443	36524	0	518	2668	1	0
1596425443.916297830	eth:ethertype:ip:tcp:ssl	130	192.168.0.158	172.217.7.13	36524	443	36524	64	518	2668	1	0
1596425443.916872983	eth:ethertype:ip:tcp:ssl	158	192.168.0.158	172.217.7.13	36524	443	36524	92	582	2668	1	0
1596425443.917349149	eth:ethertype:ip:tcp:ssl	612	192.168.0.158	172.217.7.13	36524	443	36524	546	674	2668	1	0
1596425443.941090228	eth:ethertype:ip:tcp:ssl	646	172.217.7.13	192.168.0.158	443	36524	443	580	2668	582	1	0
1596425443.941271790	eth:ethertype:ip:tcp:ssl	97	172.217.7.13	192.168.0.158	443	36524	443	31	3248	674	1	0
1596425443.941505211	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.7.13	36524	443	36524	0	1220	3279	1	0
1596425443.941934631	eth:ethertype:ip:tcp:ssl	97	192.168.0.158	172.217.7.13	36524	443	36524	31	1220	3279	1	0
1596425443.947952278	eth:ethertype:ip:tcp	66	172.217.7.13	192.168.0.158	443	36524	443	0	3279	1220	1	0
1596425443.968433725	eth:ethertype:ip:tcp	66	172.217.7.13	192.168.0.158	443	36524	443	0	3279	1251	1	0
1596425444.021753098	eth:ethertype:ip:tcp:ssl	1002	172.217.7.13	192.168.0.158	443	36524	443	936	3279	1251	1	0
1596425444.023645077	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	4215	1251	1	0
1596425444.023658976	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	5633	1	0
1596425444.023939606	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	5633	1251	1	0
1596425444.024217503	eth:ethertype:ip:tcp:ssl	1017	172.217.7.13	192.168.0.158	443	36524	443	951	8469	1251	1	0
1596425444.024226274	eth:ethertype:ip:tcp	78	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.025286449	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	9420	1251	1	0
1596425444.025295537	eth:ethertype:ip:tcp	78	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.025574318	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	10838	1251	1	0
1596425444.025581190	eth:ethertype:ip:tcp	78	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.025864934	eth:ethertype:ip:tcp:ssl	1280	172.217.7.13	192.168.0.158	443	36524	443	1214	12256	1251	1	0
1596425444.025871602	eth:ethertype:ip:tcp	78	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.026689343	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	13470	1251	1	0
1596425444.026696231	eth:ethertype:ip:tcp	78	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.027490202	eth:ethertype:ip:tcp:ssl	176	172.217.7.13	192.168.0.158	443	36524	443	110	17724	1251	1	0
