frame.time_epoch	frame.protocols	frame.len	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.port	tcp.len	tcp.seq	tcp.ack	tcp.flags.ack	tcp.flags.syn
1596421498.640495469	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	2441	2777	1	0
1596421498.683544502	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	2777	2517	1	0
1596421499.039248091	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	2517	2777	1	0
1596421499.039534304	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	2777	2609	1	0
1596421499.084216329	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	2609	2777	1	0
1596421499.084497104	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	2777	2845	1	0
1596421499.223842643	eth:ethertype:ip:tcp:ssh	462	192.168.0.1	192.168.0.158	35658	22	35658	396	2777	2845	1	0
1596421499.224730255	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	2845	3173	1	0
1596421499.225002048	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3173	2921	1	0
1596421499.551242410	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	2921	3173	1	0
1596421499.551529971	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3173	3013	1	0
1596421499.596229329	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	3013	3173	1	0
1596421499.596515330	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3173	3249	1	0
1596421499.615069029	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	3173	3249	1	0
1596421499.659053449	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	3249	3249	1	0
1596421499.661595319	eth:ethertype:ip:tcp:ssh	422	192.168.0.1	192.168.0.158	35658	22	35658	356	3249	3249	1	0
